"";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location"
"324";2;3;3;3;3;1;1;3;3;1;4;3;1;0;0;0;1;1;2;1;NA;4;1;28;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"325";4;5;4;1;1;2;2;2;2;1;2;2;3;0;0;0;1;1;2;1;6;4;0;21;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"326";2;5;4;3;3;1;1;4;2;4;2;3;1;0;1;1;1;1;2;0;NA;4;1;26;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"327";2;1;1;2;2;2;2;2;2;1;1;2;1;0;0;0;1;1;2;0;NA;3;1;18;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"328";2;2;2;2;2;1;1;2;2;2;2;2;2;0;1;0;1;1;1;NA;0;4;0;21;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"329";1;3;3;3;3;4;5;2;2;3;1;3;3;0;0;1;1;0;2;1;0;4;0;28;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"330";2;4;4;2;2;1;1;4;1;2;1;2;2;0;0;0;1;1;2;0;NA;4;1;24;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"331";1;4;4;1;1;1;1;1;3;3;2;3;2;0;0;0;1;0;2;1;NA;2;1;18;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt"
"332";1;1;1;1;1;1;1;3;1;1;1;1;1;0;0;1;1;1;0;0;5;4;1;30;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"333";1;1;1;1;1;1;1;1;1;4;1;1;2;0;0;0;1;1;2;0;3;NA;1;37;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"334";1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;2;1;6;3;0;22;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"335";2;1;1;3;3;2;2;2;2;2;2;2;2;0;0;0;1;1;2;1;4;3;1;21;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"336";3;1;1;3;3;4;4;1;1;1;2;1;1;0;0;1;1;1;2;0;3;4;1;28;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"337";1;2;2;1;1;1;1;2;1;4;1;1;1;0;1;0;1;1;2;0;5;4;1;46;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"338";3;2;2;5;4;4;5;4;3;3;4;4;2;0;1;0;1;0;2;1;6;5;1;41;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"339";3;2;2;3;3;1;1;3;2;1;4;4;1;0;1;0;1;NA;1;0;6;3;1;56;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
