"";"X";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location";"V1RL";"V2RL";"V3RL";"V4RL";"V5RL";"V6RL";"V7RL";"V8RL";"V9RL";"V10RL";"V1S";"V2S";"V3S";"V4S";"V5S";"V6S";"V7S";"V8S";"V9S";"V10S";"V1A";"V2A";"V3A";"V4A";"V5A";"V6A";"V7A";"V8A";"V9A";"V10A";"indexRL";"indexS";"indexA";"age_cohorts";"edufull";"incomefull"
"653";653;3;3;3;NA;NA;4;4;3;4;1;4;4;4;1;1;0;0;NA;2;1;3;3;0;19;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0,1;0;0,3;"youth";3;3
"654";654;3;5;4;3;3;4;4;2;2;3;3;2;3;0;1;0;0;0;0;0;5;3;0;41;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;0,3;0,5;"midage";5;3
"655";655;2;2;2;2;2;3;3;2;2;2;2;2;3;0;0;0;0;0;1;1;NA;2;1;27;0;1;1;0;5,41610040220442;3,49650756146648;10,8634889028364;"shali";"Shali";0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0,8;0,2;"youth";6,60857691274228;2
"656";656;2;2;2;2;2;2;2;2;2;2;1;2;2;0;1;0;0;0;0;0;NA;2;0;36;0;1;1;0;5,41610040220442;3,49650756146648;10,8634889028364;"shali";"Shali";0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0,1;0,9;0;"midage";2,80774190563208;2
"657";657;2;3;3;2;2;2;2;2;2;2;2;2;2;0;0;0;0;NA;2;0;NA;5;1;29;0;1;1;0;5,41610040220442;3,49650756146648;10,8634889028364;"shali";"Shali";0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0,9;0,1;"youth";3,93193625472944;5
"658";658;3;5;4;4;4;3;3;2;2;2;2;2;3;0;0;0;0;0;1;0;NA;2;1;24;0;1;1;0;5,41610040220442;3,49650756146648;10,8634889028364;"shali";"Shali";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0,5;0,3;"youth";5,07069194153826;2
"659";659;2;1;1;3;3;2;2;2;3;2;1;1;4;0;0;1;0;0;1;0;3;NA;1;49;0;0;0;0;5,8636311755981;3,61091791264422;8,5769703954521;"urus-martan";"Alkhazurovo";0;1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0,3;0,4;0,2;"midage";3;2,57517328179301
"660";660;3;3;3;3;3;3;3;3;3;1;1;1;3;0;0;0;0;NA;1;0;6;5;0;45;0;0;0;0;5,8636311755981;3,61091791264422;8,5769703954521;"urus-martan";"Alkhazurovo";0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0,3;0;0,7;"midage";6;5
"661";661;2;4;4;3;3;1;1;2;3;1;3;2;1;0;0;0;0;1;2;1;6;4;1;44;0;0;0;0;5,8636311755981;3,61091791264422;8,5769703954521;"urus-martan";"Alkhazurovo";0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0,3;0,3;0,3;"midage";6;4
"662";662;2;5;4;5;4;2;2;4;2;2;2;2;4;1;0;0;0;1;1;1;5;2;1;19;0;0;0;0;5,8636311755981;3,61091791264422;8,5769703954521;"urus-martan";"Alkhazurovo";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;"youth";5;2
"663";663;2;2;2;2;2;2;2;2;2;1;1;1;2;0;1;0;0;1;2;1;6;5;0;26;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi";0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0,3;0,7;0;"youth";6;5
"664";664;1;1;1;1;1;1;1;2;3;1;1;1;3;0;0;0;0;0;1;1;6;2;0;25;0;0;0;0;5,30826769740121;2,70805020110221;9,79890451234369;"urus-martan";"Goity";1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0,7;0,1;0,2;"youth";6;2
"665";665;2;1;1;3;3;1;1;2;3;1;1;1;1;0;0;0;0;0;2;1;3;NA;0;60;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0,6;0,2;0,2;"older";3;2,14616681120312
"666";666;1;1;1;1;1;1;1;1;1;1;1;2;1;1;0;1;0;0;0;0;3;1;1;40;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,9;0,1;0;"midage";3;1
"667";667;3;3;3;3;3;3;3;3;3;1;1;3;3;0;0;0;0;0;1;0;6;4;1;21;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0,2;0;0,8;"youth";6;4
"668";668;3;3;3;3;3;3;3;3;3;1;1;1;3;1;0;0;0;0;0;1;6;4;1;40;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0,3;0;0,7;"midage";6;4
